TIME,OK
09:00,14
09:01,14
09:02,19
09:03,14
09:04,28
09:05,21
09:06,19
09:07,28
09:08,20
09:09,26
09:10,13
09:11,15
09:12,19
09:13,29
09:14,19
09:15,25
09:16,21
09:17,13
09:18,20
09:19,20
09:20,18
09:21,23
09:22,18
09:23,17
09:24,21
09:25,23
09:26,13
09:27,13
09:28,21
09:29,19
09:30,20
09:31,22
09:32,17
09:33,17
09:34,27
09:35,21
09:36,18
09:37,14
09:38,17
09:39,22
09:40,20
09:41,19
09:42,18
09:43,22
09:44,13
09:45,24
09:46,26
09:47,22
09:48,24
09:49,41
09:50,13
09:51,18
09:52,11
09:53,17
09:54,16
09:55,12
09:56,14
09:57,15
09:58,19
09:59,17
10:00,21
10:01,17
10:02,30
10:03,16
10:04,15
10:05,31
10:06,16
10:07,22
10:08,12
10:09,18
10:10,25
10:11,14
10:12,14
10:13,16
10:14,15
10:15,21
10:16,17
10:17,20
10:18,17
10:19,14
10:20,17
10:21,17
10:22,17
10:23,26
10:24,13
10:25,18
10:26,24
10:27,24
10:28,23
10:29,20
10:30,15
10:31,19
10:32,17
10:33,22
10:34,19
10:35,20
10:36,25
10:37,12
10:38,21
10:39,19
10:40,18
10:41,14
10:42,15
10:43,19
10:44,20
10:45,17
10:46,19
10:47,13
10:48,23
10:49,17
10:50,16
10:51,20
10:52,18
10:53,27
10:54,13
10:55,24
10:56,15
10:57,27
10:58,15
10:59,11
11:00,19
11:01,18
11:02,16
11:03,9
11:04,24
11:05,19
11:06,26
11:07,19
11:08,19
11:09,13
11:10,20
11:11,19
11:12,14
11:13,18
11:14,15
11:15,17
11:16,17
11:17,20
11:18,14
11:19,18
11:20,23
11:21,25
11:22,22
11:23,18
11:24,20
11:25,14
11:26,13
11:27,17
11:28,25
11:29,27
11:30,17
11:31,27
11:32,18
11:33,15
11:34,22
11:35,18
11:36,23
11:37,24
11:38,19
11:39,17
11:40,27
11:41,23
11:42,14
11:43,22
11:44,17
11:45,14
11:46,19
11:47,15
11:48,20
11:49,16
11:50,22
11:51,18
11:52,21
11:53,20
11:54,16
11:55,22
11:56,11
11:57,33
11:58,24
11:59,17
