TIME,PERM
09:00,15
09:01,23
09:02,18
09:03,21
09:04,21
09:05,24
09:06,23
09:07,24
09:08,19
09:09,12
09:10,20
09:11,19
09:12,21
09:13,14
09:14,18
09:15,14
09:16,19
09:17,13
09:18,19
09:19,20
09:20,18
09:21,25
09:22,18
09:23,23
09:24,17
09:25,19
09:26,14
09:27,17
09:28,21
09:29,26
09:30,19
09:31,10
09:32,18
09:33,24
09:34,18
09:35,9
09:36,27
09:37,22
09:38,19
09:39,13
09:40,14
09:41,17
09:42,24
09:43,21
09:44,9
09:45,23
09:46,20
09:47,22
09:48,25
09:49,37
09:50,20
09:51,27
09:52,18
09:53,13
09:54,21
09:55,22
09:56,16
09:57,20
09:58,22
09:59,20
10:00,25
10:01,22
10:02,22
10:03,17
10:04,19
10:05,16
10:06,26
10:07,23
10:08,12
10:09,18
10:10,21
10:11,19
10:12,12
10:13,16
10:14,21
10:15,25
10:16,20
10:17,19
10:18,25
10:19,30
10:20,18
10:21,19
10:22,27
10:23,21
10:24,16
10:25,22
10:26,22
10:27,27
10:28,24
10:29,19
10:30,23
10:31,21
10:32,10
10:33,27
10:34,18
10:35,14
10:36,22
10:37,24
10:38,14
10:39,28
10:40,24
10:41,19
10:42,19
10:43,16
10:44,16
10:45,22
10:46,12
10:47,29
10:48,12
10:49,20
10:50,24
10:51,19
10:52,15
10:53,23
10:54,20
10:55,21
10:56,19
10:57,16
10:58,14
10:59,25
11:00,18
11:01,23
11:02,11
11:03,20
11:04,25
11:05,22
11:06,17
11:07,22
11:08,11
11:09,17
11:10,19
11:11,16
11:12,22
11:13,19
11:14,18
11:15,22
11:16,20
11:17,12
11:18,24
11:19,28
11:20,15
11:21,22
11:22,25
11:23,11
11:24,21
11:25,23
11:26,15
11:27,15
11:28,16
11:29,17
11:30,15
11:31,21
11:32,13
11:33,21
11:34,23
11:35,22
11:36,23
11:37,18
11:38,19
11:39,27
11:40,19
11:41,23
11:42,16
11:43,25
11:44,24
11:45,25
11:46,21
11:47,14
11:48,18
11:49,21
11:50,21
11:51,22
11:52,17
11:53,20
11:54,25
11:55,13
11:56,16
11:57,17
11:58,15
11:59,27
